,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
69,15.29028912004722,-0.12825962504386892,0.9866636920399838,0.004327803875198097,23.885877448211133,2.0243889421594337,2.0075211371945434,7.444839718756411,2.377569330508918,3.2713742948036355,-1.5204092832612657,0.9833407132210287,0.0077107783388061365,0.0,0.003920705323767552,-1.6304067262676176,-1.6304067262676176
70,15.28350860317726,-0.12825940519821336,0.9862612956658521,0.004395595526036386,25.15985465354747,2.0772545475256843,2.059494545419842,7.842005031034379,2.4006604302697205,3.2770404743099006,-1.5323444644552864,0.9829058802603916,0.007721376681545219,0.0,0.003927831156885373,-1.6311252147081832,-1.6311252147081832
71,15.276059839331099,-0.12825917352393493,0.9858188175459665,0.004466685991622255,26.637158973872936,2.135330371343756,2.116563743120589,8.302558689349704,2.4244779055237977,3.2825557956409894,-1.544355991255436,0.9824281936175119,0.007732159446003719,0.0,0.003935228801573907,-1.631915369962779,-1.631915369962779
72,15.26814697951026,-0.12825893688573142,0.9853483382113671,0.004538342147563546,28.300799572083083,2.1970247277689965,2.1771583649103503,8.821203967110167,2.4480453650821365,3.2876908275091004,-1.5559440874680546,0.9819207455860024,0.007742734004648767,0.0,0.003942647122720666,-1.6327557170765794,-1.6327557170765794
73,15.260594884331995,-0.1282587186189604,0.9848989409499339,0.004603056087051488,29.98455112568551,2.255906407444714,2.2349612491733564,9.346119675316023,2.4689246624898433,3.2919771255789767,-1.5659651887173704,0.9814364340811295,0.007752077036236359,0.0,0.003949352585169842,-1.6335586565400275,-1.6335586565400275
74,15.253779273601237,-0.1282585269546135,0.9844930949136528,0.004658424632413287,31.589179394918162,2.3090459983984286,2.2871027666826222,9.8463690876404,2.486464230172715,3.295389919995765,-1.5742072181710944,0.9809993535960408,0.007759951676683191,0.0,0.003955125784862958,-1.6342840401022862,-1.6342840401022862
75,15.247196999835374,-0.1282583458951862,0.984100922208476,0.004709217609114901,33.21961828457388,2.3603663946621816,2.3374372106549925,10.354665702582384,2.5022757167666767,3.2983215673750244,-1.581501400750055,0.9805772374645157,0.0077671094923197565,0.0,0.0039604781732457996,-1.634985254027828,-1.634985254027828
76,15.240083862819294,-0.12825815401465707,0.9836769013176623,0.004761216048421987,35.07545258170874,2.415825883897897,2.3918068742132172,10.9332310797156,2.518170688649665,3.3011322033864485,-1.5887070497046945,0.9801210781455069,0.007774404174607775,0.0,0.003966042741024288,-1.6357437473099639,-1.6357437473099639
77,15.232229387954334,-0.12825794596245252,0.9832084519736909,0.0048152470822031175,37.244308977426044,2.4770655088909246,2.451813698282126,11.609383555230663,2.53435599525769,3.303855868716779,-1.5959176114055345,0.9796173782567523,0.007781989134169303,0.0,0.003971953390627624,-1.6365821596423948,-1.6365821596423948
78,15.224340629079661,-0.12825774034736023,0.982737735627663,0.004866064784276389,39.55642643887262,2.5385725379829407,2.512051494725817,12.330199470799592,2.549252018096831,3.306241774863986,-1.6024463844008523,0.9791114805825968,0.007789172664794067,0.0,0.003977674054112462,-1.6374251411984713,-1.6374251411984713
