# This data is taken from: https://arxiv.org/abs/1803.01038
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
# Original Header:
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2018).
#
#
T[GeV] f[Hz] g_*rho g_*s
1.2694634e-05 1.8031088885535803e-13 3.3830836 3.9309363
1.2761164e-05 1.812558616238165e-13 3.3830836 3.9309363
1.2828043e-05 1.8220579148676156e-13 3.3830836 3.9309363
1.2895272e-05 1.831606926479023e-13 3.3830836 3.9309363
1.2962854e-05 1.8412060771836612e-13 3.3830836 3.9309363
1.303079e-05 1.850855509018622e-13 3.3830836 3.9309363
1.3099082e-05 1.8605555060580877e-13 3.3830836 3.9309363
1.3167732e-05 1.870306352376241e-13 3.3830836 3.9309363
1.3236742e-05 1.8801083320472646e-13 3.3830836 3.9309363
1.3306113e-05 1.8899615871082492e-13 3.3830836 3.9309363
1.3375848e-05 1.8998665436704695e-13 3.3830836 3.9309363
1.3445948e-05 1.9098233437710167e-13 3.3830836 3.9309363
1.3516416e-05 1.9198324135211643e-13 3.3830836 3.9309363
1.3587253e-05 1.9298938949580034e-13 3.3830836 3.9309363
1.3658461e-05 1.9400080721557172e-13 3.3830836 3.9309363
1.3730043e-05 1.950175371225579e-13 3.3830836 3.9309363
1.3801999e-05 1.96039579216759e-13 3.3830836 3.9309363
1.3874333e-05 1.9706699031301149e-13 3.3830836 3.9309363
1.3947046e-05 1.980997846150244e-13 3.3830836 3.9309363
1.402014e-05 1.9913799053021608e-13 3.3830836 3.9309363
1.4093617e-05 2.001816364660048e-13 3.3830836 3.9309363
1.4167479e-05 2.0123075082980881e-13 3.3830836 3.9309363
1.4241728e-05 2.0228536202904632e-13 3.3830836 3.9309363
1.4316366e-05 2.033454984711356e-13 3.3830836 3.9309363
1.4391395e-05 2.0441118856349503e-13 3.3830836 3.9309363
1.4466818e-05 2.0548247491725186e-13 3.3830836 3.9309363
1.4542636e-05 2.0655937173611534e-13 3.3830836 3.9309363
1.4618851e-05 2.0764190742750357e-13 3.3830836 3.9309363
1.4695466e-05 2.0873012460254406e-13 3.3830836 3.9309363
1.4772482e-05 2.0982403746494597e-13 3.3830836 3.9309363
1.4849902e-05 2.1092368862583662e-13 3.3830836 3.9309363
1.4927728e-05 2.1202910649263425e-13 3.3830836 3.9309363
1.5005961e-05 2.1314030526904807e-13 3.3830836 3.9309363
1.5084604e-05 2.1425732756620545e-13 3.3830836 3.9309363
1.516366e-05 2.1538021599523376e-13 3.3830836 3.9309363
1.524313e-05 2.165089847598421e-13 3.3830836 3.9309363
1.5323016e-05 2.176436622674488e-13 3.3830836 3.9309363
1.5403322e-05 2.1878430533289032e-13 3.3830836 3.9309363
1.5484047e-05 2.1993089975245764e-13 3.3830836 3.9309363
1.5565197e-05 2.2108353074840535e-13 3.3830836 3.9309363
1.5646771e-05 2.222421841170245e-13 3.3830836 3.9309363
1.5728773e-05 2.2340691667315152e-13 3.3830836 3.9309363
1.5811204e-05 2.2457774262049555e-13 3.3830836 3.9309363
1.5894068e-05 2.257547187738932e-13 3.3830836 3.9309363
1.5977366e-05 2.2693785933705343e-13 3.3830836 3.9309363
1.60611e-05 2.281271927173947e-13 3.3830836 3.9309363
1.6145273e-05 2.293227615260442e-13 3.3830836 3.9309363
1.6229888e-05 2.305246083741295e-13 3.3830836 3.9309363
1.6314946e-05 2.317327474653596e-13 3.3830836 3.9309363
